"pid","grp","duration","entry","exit","num","ind"
7,"inactive",5,0,25,6294,1
10,"inactive",5,0,27,6294,1
23,"inactive",5,0,26,6294,1
29,"inactive",5,0,26,6294,1
35,"inactive",5,0,28,6294,1
49,"inactive",5,0,24,6294,1
50,"inactive",5,0,24,6294,1
58,"inactive",5,0,25,6294,1
60,"inactive",5,0,24,6294,1
69,"inactive",13,8,51,6294,1
73,"inactive",5,0,31,6294,1
74,"inactive",6,1,41,6294,1
76,"inactive",5,0,25,6294,1
79,"inactive",5,0,28,6294,1
100,"inactive",21,16,65,6294,1
101,"inactive",5,0,29,6294,1
103,"inactive",5,0,30,6294,1
116,"inactive",8,3,43,6294,1
123,"inactive",21,16,68,6294,1
124,"inactive",8,3,43,6294,1
146,"inactive",5,0,34,6294,1
152,"inactive",5,0,35,6294,1
158,"inactive",5,0,43,6294,1
159,"inactive",5,0,34,6294,1
169,"inactive",5,0,34,6294,1
171,"inactive",17,12,62,6294,1
184,"inactive",5,0,38,6294,1
192,"inactive",5,0,34,6294,1
199,"inactive",5,0,38,6294,1
200,"inactive",5,0,39,6294,1
201,"inactive",5,0,40,6294,1
202,"inactive",7,2,44,6294,1
208,"inactive",11,6,48,6294,1
215,"inactive",11,6,53,6294,1
216,"inactive",19,14,62,6294,1
221,"inactive",24,19,69,6294,1
222,"inactive",22,17,68,6294,1
223,"inactive",38,33,95,6294,1
231,"inactive",12,7,51,6294,1
233,"inactive",6,1,45,6294,1
236,"inactive",5,0,39,6294,1
237,"inactive",5,0,42,6294,1
243,"inactive",5,0,44,6294,1
247,"inactive",29,24,74,6294,1
250,"inactive",18,13,62,6294,1
270,"inactive",22,17,66,6294,1
282,"inactive",20,15,65,6294,1
284,"inactive",23,18,73,6294,1
296,"inactive",33,28,80,6294,1
303,"inactive",13,8,57,6294,1
309,"inactive",11,6,54,6294,1
325,"inactive",15,10,55,6294,1
343,"inactive",25,20,73,6294,1
349,"inactive",10,5,53,6294,1
354,"inactive",13,8,55,6294,1
358,"inactive",6,1,41,6294,1
366,"inactive",29,24,80,6294,1
382,"inactive",5,0,42,6294,1
386,"inactive",27,22,76,6294,1
387,"inactive",25,20,76,6294,1
388,"inactive",18,13,57,6294,1
389,"inactive",5,0,40,6294,1
394,"inactive",26,21,74,6294,1
397,"inactive",20,15,66,6294,1
412,"inactive",12,7,52,6294,1
413,"inactive",8,3,44,6294,1
419,"inactive",21,16,65,6294,1
428,"inactive",31,26,84,6294,1
436,"inactive",46,41,105,6294,1
453,"inactive",44,39,99,6294,1
456,"inactive",23,18,67,6294,1
461,"inactive",31,26,80,6294,1
482,"inactive",42,37,97,6294,1
489,"inactive",37,32,92,6294,1
492,"inactive",16,11,59,6294,1
496,"inactive",30,25,77,6294,1
503,"inactive",37,32,88,6294,1
539,"inactive",26,21,78,6294,1
547,"inactive",12,7,53,6294,1
550,"inactive",36,31,87,6294,1
557,"inactive",22,17,71,6294,1
558,"inactive",5,0,41,6294,1
561,"inactive",23,18,71,6294,1
563,"inactive",27,22,81,6294,1
564,"inactive",31,26,81,6294,1
567,"inactive",22,17,66,6294,1
568,"inactive",33,28,85,6294,1
576,"inactive",22,17,68,6294,1
580,"inactive",20,15,62,6294,1
591,"inactive",32,27,86,6294,1
599,"inactive",22,17,71,6294,1
607,"inactive",41,36,98,6294,1
616,"inactive",25,20,72,6294,1
625,"inactive",36,31,95,6294,1
626,"inactive",47,42,107,6294,1
632,"inactive",55,50,119,6294,1
653,"inactive",43,38,100,6294,1
663,"inactive",40,35,94,6294,1
667,"inactive",33,28,84,6294,1
668,"inactive",33,28,82,6294,1
672,"inactive",50,45,113,6294,1
674,"inactive",39,34,94,6294,1
679,"inactive",42,37,100,6294,1
690,"inactive",35,30,86,6294,1
691,"inactive",45,40,106,6294,1
693,"inactive",51,46,110,6294,1
697,"inactive",67,62,134,6294,1
700,"inactive",54,49,117,6294,1
708,"inactive",36,31,86,6294,1
709,"inactive",52,47,114,6294,1
712,"inactive",59,54,124,6294,1
722,"inactive",38,33,98,6294,1
728,"inactive",43,38,98,6294,1
729,"inactive",46,41,105,6294,1
751,"inactive",44,39,100,6294,1
760,"inactive",34,29,89,6294,1
766,"inactive",59,54,125,6294,1
780,"inactive",44,39,103,6294,1
784,"inactive",50,45,108,6294,1
786,"inactive",43,38,97,6294,1
791,"inactive",51,46,115,6294,1
797,"inactive",57,52,117,6294,1
800,"inactive",32,27,87,6294,1
806,"inactive",53,48,116,6294,1
807,"inactive",34,29,87,6294,1
809,"inactive",51,46,111,6294,1
814,"inactive",37,32,93,6294,1
823,"inactive",35,30,87,6294,1
833,"inactive",39,34,94,6294,1
844,"inactive",64,59,129,6294,1
860,"inactive",64,59,133,6294,1
866,"inactive",66,61,133,6294,1
889,"inactive",70,65,138,6294,1
895,"inactive",56,51,121,6294,1
898,"inactive",59,54,125,6294,1
905,"inactive",56,51,119,6294,1
920,"inactive",61,56,126,6294,1
954,"inactive",68,63,141,6294,1
956,"inactive",66,61,138,6294,1
957,"inactive",50,45,113,6294,1
968,"inactive",64,59,134,6294,1
987,"inactive",62,57,130,6294,1
993,"inactive",76,71,144,6294,1
999,"inactive",68,63,138,6294,1
1000,"inactive",56,51,116,6294,1
1005,"inactive",67,62,134,6294,1
1007,"inactive",69,64,136,6294,1
1014,"inactive",56,51,120,6294,1
1015,"inactive",61,56,129,6294,1
1022,"inactive",52,47,116,6294,1
1040,"inactive",67,62,135,6294,1
1054,"inactive",76,71,147,6294,1
1072,"inactive",71,66,143,6294,1
1078,"inactive",66,61,133,6294,1
1085,"inactive",81,76,156,6294,1
1087,"inactive",83,78,164,6294,1
1088,"inactive",71,66,143,6294,1
1094,"inactive",79,74,149,6294,1
1095,"inactive",74,69,145,6294,1
1102,"inactive",69,64,141,6294,1
1118,"inactive",78,73,150,6294,1
1121,"inactive",46,41,113,6294,1
1130,"inactive",67,62,132,6294,1
1144,"inactive",76,71,152,6294,1
1145,"inactive",72,67,141,6294,1
1148,"inactive",91,86,169,6294,1
1150,"inactive",83,78,157,6294,1
1152,"inactive",65,60,134,6294,1
1157,"inactive",85,80,161,6294,1
1171,"inactive",74,69,145,6294,1
1183,"inactive",75,70,145,6294,1
1185,"inactive",51,46,117,6294,1
1190,"inactive",81,76,156,6294,1
1192,"inactive",66,61,131,6294,1
1197,"inactive",67,62,136,6294,1
1203,"inactive",84,79,156,6294,1
1207,"inactive",81,76,155,6294,1
1210,"inactive",81,76,154,6294,1
1213,"inactive",65,60,134,6294,1
1223,"inactive",83,78,157,6294,1
1226,"inactive",66,61,132,6294,1
1228,"inactive",76,71,152,6294,1
1240,"inactive",68,63,136,6294,1
1250,"inactive",71,66,141,6294,1
1252,"inactive",74,69,144,6294,1
1255,"inactive",83,78,162,6294,1
1273,"inactive",95,90,178,6294,1
1282,"inactive",81,76,153,6294,1
1285,"inactive",100,95,183,6294,1
1287,"inactive",84,79,160,6294,1
1291,"inactive",96,91,180,6294,1
1294,"inactive",93,88,177,6294,1
1298,"inactive",83,78,161,6294,1
1299,"inactive",92,87,173,6294,1
1306,"inactive",91,86,171,6294,1
1311,"inactive",88,83,167,6294,1
1315,"inactive",90,85,169,6294,1
1329,"inactive",90,85,171,6294,1
1332,"inactive",93,88,178,6294,1
1362,"inactive",94,89,173,6294,1
1363,"inactive",94,89,179,6294,1
1369,"inactive",86,81,165,6294,1
1377,"inactive",110,105,204,6294,1
1383,"inactive",104,99,192,6294,1
1395,"inactive",102,97,187,6294,1
1400,"inactive",89,84,171,6294,1
1403,"inactive",110,105,201,6294,1
1406,"inactive",106,101,198,6294,1
1410,"inactive",97,92,183,6294,1
1414,"inactive",96,91,183,6294,1
1422,"inactive",88,83,167,6294,1
1438,"inactive",95,90,183,6294,1
1444,"inactive",86,81,165,6294,1
1445,"inactive",87,82,166,6294,1
1446,"inactive",81,76,153,6294,1
1452,"inactive",86,81,167,6294,1
